_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2018,1,KOLKATA,AHMEDABAD,19270,20517,,,,
2,2018,2,KOLKATA,AHMEDABAD,18343,19232,,,,
3,2018,3,KOLKATA,AHMEDABAD,15272,16506,93.57,173.67,8.19,1.66
4,2018,4,KOLKATA,AHMEDABAD,16464,19010,99.64,197.99,8.24,1.75
5,2018,5,KOLKATA,AHMEDABAD,19856,21281,325.56,249.24,7.09,1.42
6,2018,6,KOLKATA,AHMEDABAD,18983,19464,190.70,217.97,6.41,1.98
7,2018,7,KOLKATA,AHMEDABAD,19086,18298,161.14,246.93,6.88,1.74
8,2018,8,KOLKATA,AHMEDABAD,16678,18263,165.87,255.30,7.55,1.86
9,2018,9,KOLKATA,AHMEDABAD,20911,22258,142.72,293.19,7.14,2.35
10,2018,10,KOLKATA,AHMEDABAD,22190,25951,125.25,276.69,4.36,1.74
11,2018,11,KOLKATA,AHMEDABAD,22063,24736,103.50,181.70,4.51,3.51
12,2018,12,KOLKATA,AHMEDABAD,20987,23092,176.77,206.75,4.70,2.45
13,2018,1,KOLKATA,AIZAWL,6391,7437,,,,
14,2018,2,KOLKATA,AIZAWL,5865,6575,,,,
15,2018,3,KOLKATA,AIZAWL,6479,6326,13.35,1.34,17.13,9.39
16,2018,4,KOLKATA,AIZAWL,4022,4059,15.32,0.36,6.69,10.72
17,2018,5,KOLKATA,AIZAWL,4004,3931,15.28,1.48,10.38,15.07
18,2018,6,KOLKATA,AIZAWL,3741,4045,13.98,1.12,7.90,9.23
19,2018,7,KOLKATA,AIZAWL,3744,4050,16.16,1.31,9.75,5.83
20,2018,8,KOLKATA,AIZAWL,3762,4114,16.15,1.46,11.24,4.15
21,2018,9,KOLKATA,AIZAWL,3434,3563,15.10,1.87,7.84,8.15
22,2018,10,KOLKATA,AIZAWL,3808,3907,22.32,1.39,7.80,10.08
23,2018,11,KOLKATA,AIZAWL,3756,3642,18.57,1.25,14.27,9.59
24,2018,12,KOLKATA,AIZAWL,4040,3622,25.93,0.59,13.13,10.40
25,2018,1,KOLKATA,AMRITSAR,361,235,,,,
26,2018,2,KOLKATA,AMRITSAR,273,259,,,,
27,2018,3,KOLKATA,AMRITSAR,316,304,0.01,0.05,0.00,0.00
