_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2024,1,KOLKATA,AGARTALA,32561,30666,207.66,54.15,11.22,3.80
2,2024,2,KOLKATA,AGARTALA,32680,32045,233.63,12.56,16.89,3.34
3,2024,3,KOLKATA,AGARTALA,36601,37092,267.34,11.57,15.91,3.69
4,2024,4,KOLKATA,AGARTALA,31739,29983,314.58,21.55,9.33,4.51
5,2024,6,KOLKATA,AGARTALA,34626,34136,304.55,20.52,8.15,3.74
6,2024,7,KOLKATA,AGARTALA,33891,35004,276.48,28.01,7.69,3.64
7,2024,8,KOLKATA,AGARTALA,34199,32172,254.75,53.48,7.38,3.56
8,2024,1,KOLKATA,AHMEDABAD,15237,15798,125.40,168.12,2.95,3.52
9,2024,2,KOLKATA,AHMEDABAD,13516,13597,110.10,173.66,4.31,5.44
10,2024,3,KOLKATA,AHMEDABAD,13608,14715,74.34,152.16,5.66,7.49
11,2024,4,KOLKATA,AHMEDABAD,14141,15881,92.06,171.81,5.97,6.22
12,2024,6,KOLKATA,AHMEDABAD,14021,14216,99.37,156.59,2.02,4.89
13,2024,7,KOLKATA,AHMEDABAD,14928,13484,84.31,149.58,2.83,3.99
14,2024,8,KOLKATA,AHMEDABAD,13608,13697,82.48,153.12,2.42,4.80
15,2024,1,KOLKATA,AIZAWL,5627,6456,13.78,20.86,7.42,6.16
16,2024,2,KOLKATA,AIZAWL,4649,5204,17.09,13.87,4.03,6.61
17,2024,3,KOLKATA,AIZAWL,7116,7434,12.02,16.20,6.20,6.79
18,2024,4,KOLKATA,AIZAWL,8045,7461,14.26,10.67,7.33,6.89
19,2024,6,KOLKATA,AIZAWL,6683,9081,12.11,5.50,9.94,7.77
20,2024,7,KOLKATA,AIZAWL,6799,9590,11.16,2.29,7.08,7.51
21,2024,8,KOLKATA,AIZAWL,6854,8087,11.56,6.14,1.92,10.29
22,2024,4,KOLKATA,AMRITSAR,1677,2051,1.01,0.00,0.00,0.00
23,2024,6,KOLKATA,AMRITSAR,1490,2051,5.24,0.03,0.00,0.00
24,2024,7,KOLKATA,AMRITSAR,1938,2043,1.35,0.41,0.00,0.00
25,2024,8,KOLKATA,AMRITSAR,2021,2019,1.71,0.15,0.00,0.00
26,2024,1,KOLKATA,BAGDOGRA,36675,37716,77.55,77.95,4.93,5.06
27,2024,2,KOLKATA,BAGDOGRA,28606,27693,48.71,54.70,11.01,9.64
28,2024,3,KOLKATA,BAGDOGRA,31798,30033,91.86,25.80,6.89,10.27
29,2024,4,KOLKATA,BAGDOGRA,29473,27623,40.88,55.26,8.17,6.33
30,2024,6,KOLKATA,BAGDOGRA,28494,33640,56.95,26.85,2.43,8.17
31,2024,7,KOLKATA,BAGDOGRA,21165,25748,53.78,30.97,4.12,6.53
32,2024,8,KOLKATA,BAGDOGRA,21536,23158,51.70,41.40,0.75,5.38
33,2024,1,KOLKATA,BENGALURU,94467,97699,509.17,757.38,15.25,16.22
34,2024,2,KOLKATA,BENGALURU,81968,86009,453.26,693.92,13.02,13.58
35,2024,3,KOLKATA,BENGALURU,89254,103143,474.25,583.14,17.07,15.17
36,2024,4,KOLKATA,BENGALURU,89286,103477,482.76,574.91,12.84,18.83
37,2024,6,KOLKATA,BENGALURU,92626,95922,741.81,529.72,25.11,19.01
38,2024,7,KOLKATA,BENGALURU,97230,90629,601.17,1024.97,27.72,21.61
39,2024,8,KOLKATA,BENGALURU,93598,89605,624.55,982.76,15.87,17.91
40,2024,1,KOLKATA,BHUBANESWAR,23692,24102,21.55,22.26,32.34,5.48
41,2024,2,KOLKATA,BHUBANESWAR,20804,21978,19.46,67.03,35.46,4.46
42,2024,3,KOLKATA,BHUBANESWAR,22921,24745,16.07,108.15,38.24,6.05
43,2024,4,KOLKATA,BHUBANESWAR,21444,26044,15.13,38.26,36.00,3.91
44,2024,6,KOLKATA,BHUBANESWAR,25429,24007,23.91,16.39,4.00,1.33
45,2024,7,KOLKATA,BHUBANESWAR,27129,22795,35.56,34.90,31.66,5.94
46,2024,8,KOLKATA,BHUBANESWAR,25688,23561,16.22,19.95,11.94,5.17
47,2024,3,KOLKATA,BILASPUR,21,49,0.00,0.00,0.00,0.00
48,2024,4,KOLKATA,BILASPUR,46,105,0.00,0.00,0.00,0.00
49,2024,6,KOLKATA,BILASPUR,224,266,0.00,0.00,0.00,0.00
50,2024,7,KOLKATA,BILASPUR,219,187,0.00,0.00,0.00,0.00
51,2024,8,KOLKATA,BILASPUR,218,215,0.00,0.00,0.00,0.00
52,2024,1,KOLKATA,CHANDIGARH,5630,4649,7.47,14.17,0.09,0.00
53,2024,2,KOLKATA,CHANDIGARH,4925,4604,10.12,17.89,0.00,0.00
54,2024,3,KOLKATA,CHANDIGARH,4374,4690,6.22,18.92,0.00,0.00
55,2024,4,KOLKATA,CHANDIGARH,2765,2863,5.73,17.54,0.00,0.00
56,2024,6,KOLKATA,CHANDIGARH,3367,4651,10.94,13.93,0.00,0.00
57,2024,7,KOLKATA,CHANDIGARH,4304,4248,5.90,18.04,0.00,0.00
58,2024,8,KOLKATA,CHANDIGARH,4690,3769,7.38,18.67,0.00,0.00
59,2024,1,KOLKATA,CHENNAI,32124,32088,202.83,192.38,15.95,29.95
60,2024,2,KOLKATA,CHENNAI,30847,32266,172.77,318.74,15.86,18.37
61,2024,3,KOLKATA,CHENNAI,37725,44472,174.33,340.61,14.54,15.56
62,2024,4,KOLKATA,CHENNAI,36085,46559,161.78,357.76,14.07,14.25
63,2024,6,KOLKATA,CHENNAI,46039,46624,271.67,273.51,3.44,15.11
64,2024,7,KOLKATA,CHENNAI,46331,41965,206.26,258.07,6.67,17.82
65,2024,8,KOLKATA,CHENNAI,43554,43546,213.02,265.07,3.25,21.09
66,2024,1,KOLKATA,COIMBATORE,415,470,1.24,6.51,0.00,0.00
67,2024,2,KOLKATA,COIMBATORE,307,426,2.20,4.35,0.00,0.00
68,2024,3,KOLKATA,COIMBATORE,266,537,4.01,5.43,0.00,0.00
69,2024,4,KOLKATA,COIMBATORE,147,259,3.27,6.67,0.00,0.00
70,2024,6,KOLKATA,COIMBATORE,158,400,3.15,8.32,0.00,0.00
71,2024,7,KOLKATA,COIMBATORE,332,237,2.17,13.71,0.00,0.00
72,2024,8,KOLKATA,COIMBATORE,210,354,1.29,23.18,0.00,0.00
73,2024,1,KOLKATA,COOCH BEHAR,205,204,0.00,0.00,0.00,0.00
74,2024,2,KOLKATA,COOCH BEHAR,218,205,0.00,0.00,0.00,0.00
75,2024,3,KOLKATA,COOCH BEHAR,262,258,0.00,0.00,0.00,0.00
76,2024,4,KOLKATA,COOCH BEHAR,177,170,0.00,0.00,0.00,0.00
77,2024,6,KOLKATA,COOCH BEHAR,213,209,0.00,0.00,0.00,0.00
78,2024,7,KOLKATA,COOCH BEHAR,169,169,0.00,0.00,0.00,0.00
79,2024,8,KOLKATA,COOCH BEHAR,168,201,0.00,0.00,0.00,0.00
80,2024,1,KOLKATA,DABOLIM,5802,6261,6.10,27.71,0.00,0.92
81,2024,2,KOLKATA,DABOLIM,5437,5819,7.09,29.25,0.00,0.68
82,2024,3,KOLKATA,DABOLIM,5826,6151,5.31,10.51,0.00,1.77
83,2024,4,KOLKATA,DABOLIM,4509,4876,3.90,9.43,0.00,0.99
84,2024,6,KOLKATA,DABOLIM,4730,4785,9.68,2.87,0.00,0.70
85,2024,7,KOLKATA,DABOLIM,5090,4065,3.48,7.73,0.00,0.76
86,2024,8,KOLKATA,DABOLIM,4725,4330,1.95,8.47,0.00,0.97
87,2024,1,KOLKATA,DARBHANGA,1843,1515,0.50,0.00,0.00,0.00
88,2024,2,KOLKATA,DARBHANGA,4302,3294,0.69,0.00,0.00,0.00
89,2024,3,KOLKATA,DARBHANGA,5074,4238,0.97,0.00,0.00,0.00
90,2024,4,KOLKATA,DARBHANGA,2192,1991,0.10,0.00,0.00,0.00
91,2024,6,KOLKATA,DARBHANGA,1936,1919,0.10,0.00,0.00,0.00
92,2024,7,KOLKATA,DARBHANGA,1972,1798,0.07,0.00,0.00,0.00
93,2024,8,KOLKATA,DARBHANGA,1811,1552,0.06,0.00,0.00,0.00
94,2024,1,KOLKATA,DELHI,118865,119251,1961.60,1492.37,51.73,49.30
95,2024,2,KOLKATA,DELHI,113691,115415,1867.84,1510.19,52.28,70.21
